DEMANDA_TOTAL;FACTOR_SOLAR;FACTOR_EOLICO;POTENCIA_SOLAR;POTENCIA_EOLICA;DEMANDA_RESIDUAL;DEMANDA_RESIDUAL_POSITIVA
958;0;0.764958842;0;1147.438263;-189.438263;0
883;0;0.712968127;0;1069.452191;-186.4521905;0
820;0;0.670722433;0;1006.08365;-186.0836495;0
792;0;0.583499121;0;875.2486815;-83.2486815;0
775;0;0.568211886;0;852.317829;-77.317829;0
768;0;0.484785262;0;727.177893;40.822107;40.822107
780;0.000259323;0.507653371;0.06483075;761.4800565;18.45511275;18.45511275
727;0.071230622;0.482220483;17.8076555;723.3307245;-14.13838;0
792;0.303845062;0.405027681;75.9612655;607.5415215;108.497213;108.497213
842;0.515748765;0.218748089;128.9371913;328.1221335;384.9406753;384.9406753
895;0.678688522;0.171080494;169.6721305;256.620741;468.7071285;468.7071285
928;0.78402154;0.114195397;196.005385;171.2930955;560.7015195;560.7015195
927;0.824512037;0.059277258;206.1280093;88.915887;631.9561038;631.9561038
944;0.810771763;0.047936464;202.6929408;71.904696;669.4023633;669.4023633
933;0.75410682;0.05344085;188.526705;80.161275;664.31202;664.31202
919;0.622129925;0.047834553;155.5324813;71.7518295;691.7156893;691.7156893
901;0.444555837;0.05566469;111.1389593;83.497035;706.3640058;706.3640058
931;0.229254336;0.059971922;57.313584;89.957883;783.728533;783.728533
973;0.028297718;0.119411052;7.0744295;179.116578;786.8089925;786.8089925
1235;0;0.183278242;0;274.917363;960.082637;960.082637
1204;0;0.232302353;0;348.4535295;855.5464705;855.5464705
1173;0;0.249767935;0;374.6519025;798.3480975;798.3480975
1121;0;0.204021357;0;306.0320355;814.9679645;814.9679645
1031;0;0.304871652;0;457.307478;573.692522;573.692522
963;0;0.32866906;0;493.00359;469.99641;469.99641
877;0;0.412319444;0;618.479166;258.520834;258.520834
849;0;0.337397226;0;506.095839;342.904161;342.904161
813;0;0.220051826;0;330.077739;482.922261;482.922261
812;0;0.159295044;0;238.942566;573.057434;573.057434
831;0;0.180904129;0;271.3561935;559.6438065;559.6438065
908;0.000249845;0.11492368;0.06246125;172.38552;735.5520188;735.5520188
951;0.078964475;0.064654548;19.74111875;96.981822;834.2770593;834.2770593
1013;0.312870242;0.028111338;78.2175605;42.167007;892.6154325;892.6154325
1033;0.519148196;0.011216812;129.787049;16.825218;886.387733;886.387733
1090;0.679942805;0.011578499;169.9857013;17.3677485;902.6465503;902.6465503
1134;0.780959652;0.016472291;195.239913;24.7084365;914.0516505;914.0516505
1142;0.82499427;0.01775702;206.2485675;26.63553;909.1159025;909.1159025
1156;0.800011295;0.040451839;200.0028238;60.6777585;895.3194178;895.3194178
1143;0.744816721;0.060663162;186.2041803;90.994743;865.8010768;865.8010768
1152;0.597599981;0.060028483;149.3999953;90.0427245;912.5572803;912.5572803
1131;0.436104458;0.08693263;109.0261145;130.398945;891.5749405;891.5749405
1128;0.189744984;0.124666214;47.436246;186.999321;893.564433;893.564433
1142;0.016234125;0.231220384;4.05853125;346.830576;791.1108928;791.1108928
1321;0;0.324818965;0;487.2284475;833.7715525;833.7715525
1346;0;0.31372061;0;470.580915;875.419085;875.419085
1307;0;0.29542998;0;443.14497;863.85503;863.85503
1229;0;0.317615897;0;476.4238455;752.5761545;752.5761545
1113;0;0.387331634;0;580.997451;532.002549;532.002549
1021;0;0.358914129;0;538.3711935;482.6288065;482.6288065
928;0;0.371267599;0;556.9013985;371.0986015;371.0986015
869;0;0.369355798;0;554.033697;314.966303;314.966303
840;0;0.319549412;0;479.324118;360.675882;360.675882
839;0;0.242461733;0;363.6925995;475.3074005;475.3074005
866;0;0.248063249;0;372.0948735;493.9051265;493.9051265
908;0.000103826;0.199221791;0.0259565;298.8326865;609.141357;609.141357
921;0.036238837;0.195822738;9.05970925;293.734107;618.2061838;618.2061838
987;0.137853838;0.248167722;34.4634595;372.251583;580.2849575;580.2849575
1071;0.262382273;0.11293262;65.59556825;169.39893;836.0055018;836.0055018
1094;0.381230374;0.097549383;95.3075935;146.3240745;852.368332;852.368332
1118;0.49303862;0.119947485;123.259655;179.9212275;814.8191175;814.8191175
1136;0.786459223;0.106001506;196.6148058;159.002259;780.3829353;780.3829353
1159;0.688606035;0.090385184;172.1515088;135.577776;851.2707153;851.2707153
1155;0.554785912;0.073636845;138.696478;110.4552675;905.8482545;905.8482545
1153;0.417320533;0.053406496;104.3301333;80.109744;968.5601228;968.5601228
1140;0.332655889;0.060844683;83.16397225;91.2670245;965.5690033;965.5690033
1124;0.166994262;0.090811114;41.7485655;136.216671;946.0347635;946.0347635
1148;0.026311583;0.183458817;6.57789575;275.1882255;866.2338788;866.2338788
1328;0;0.277335104;0;416.002656;911.997344;911.997344
1354;0;0.494662886;0;741.994329;612.005671;612.005671
1314;0;0.618063848;0;927.095772;386.904228;386.904228
1238;0;0.753046135;0;1129.569203;108.4307975;108.4307975
1136;0;0.733849071;0;1100.773607;35.2263935;35.2263935
1020;0;0.700676698;0;1051.015047;-31.015047;0
929;0;0.696458953;0;1044.68843;-115.6884295;0
877;0;0.736298035;0;1104.447053;-227.4470525;0
847;0;0.777787553;0;1166.68133;-319.6813295;0
846;0;0.754178285;0;1131.267428;-285.2674275;0
