NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
91;0;0;0.764958842;;;;;;
91;1;0;0.712968127;;;;;;
91;2;0;0.670722433;;;;;;
91;3;0;0.583499121;;;;;;
91;4;0;0.568211886;;;;;;
91;5;0;0.484785262;;;;;;
91;6;0.000259323;0.507653371;;;;;;
91;7;0.071230622;0.482220483;;;;;;
91;8;0.303845062;0.405027681;;;;;;
91;9;0.515748765;0.218748089;;;;;;
91;10;0.678688522;0.171080494;;;;;;
91;11;0.78402154;0.114195397;;;;;;
91;12;0.824512037;0.059277258;;;;;;
91;13;0.810771763;0.047936464;;;;;;
91;14;0.75410682;0.05344085;;;;;;
91;15;0.622129925;0.047834553;;;;;;
91;16;0.444555837;0.05566469;;;;;;
91;17;0.229254336;0.059971922;;;;;;
91;18;0.028297718;0.119411052;;;;;;
91;19;0;0.183278242;;;;;;
91;20;0;0.232302353;;;;;;
91;21;0;0.249767935;;;;;;
91;22;0;0.204021357;;;;;;
91;23;0;0.304871652;;;;;;
92;0;0;0.32866906;;;;;;
92;1;0;0.412319444;;;;;;
92;2;0;0.337397226;;;;;;
92;3;0;0.220051826;;;;;;
92;4;0;0.159295044;;;;;;
92;5;0;0.180904129;;;;;;
92;6;0.000249845;0.11492368;;;;;;
92;7;0.078964475;0.064654548;;;;;;
92;8;0.312870242;0.028111338;;;;;;
92;9;0.519148196;0.011216812;;;;;;
92;10;0.679942805;0.011578499;;;;;;
92;11;0.780959652;0.016472291;;;;;;
92;12;0.82499427;0.01775702;;;;;;
92;13;0.800011295;0.040451839;;;;;;
92;14;0.744816721;0.060663162;;;;;;
92;15;0.597599981;0.060028483;;;;;;
92;16;0.436104458;0.08693263;;;;;;
92;17;0.189744984;0.124666214;;;;;;
92;18;0.016234125;0.231220384;;;;;;
92;19;0;0.324818965;;;;;;
92;20;0;0.31372061;;;;;;
92;21;0;0.29542998;;;;;;
92;22;0;0.317615897;;;;;;
92;23;0;0.387331634;;;;;;
93;0;0;0.358914129;;;;;;
93;1;0;0.371267599;;;;;;
93;2;0;0.369355798;;;;;;
93;3;0;0.319549412;;;;;;
93;4;0;0.242461733;;;;;;
93;5;0;0.248063249;;;;;;
93;6;0.000103826;0.199221791;;;;;;
93;7;0.036238837;0.195822738;;;;;;
93;8;0.137853838;0.248167722;;;;;;
93;9;0.262382273;0.11293262;;;;;;
93;10;0.381230374;0.097549383;;;;;;
93;11;0.49303862;0.119947485;;;;;;
93;12;0.786459223;0.106001506;;;;;;
93;13;0.688606035;0.090385184;;;;;;
93;14;0.554785912;0.073636845;;;;;;
93;15;0.417320533;0.053406496;;;;;;
93;16;0.332655889;0.060844683;;;;;;
93;17;0.166994262;0.090811114;;;;;;
93;18;0.026311583;0.183458817;;;;;;
93;19;0;0.277335104;;;;;;
93;20;0;0.494662886;;;;;;
93;21;0;0.618063848;;;;;;
93;22;0;0.753046135;;;;;;
93;23;0;0.733849071;;;;;;
94;0;0;0.700676698;;;;;;
94;1;0;0.696458953;;;;;;
94;2;0;0.736298035;;;;;;
94;3;0;0.777787553;;;;;;
94;4;0;0.754178285;;;;;;
94;5;0;0.715102559;;;;;;
94;6;1.72E-05;0.737217332;;;;;;
94;7;0.030479784;0.748729958;;;;;;
94;8;0.263117243;0.622917071;;;;;;
94;9;0.301192787;0.551747512;;;;;;
94;10;0.431508303;0.689839338;;;;;;
94;11;0.52818427;0.610998766;;;;;;
94;12;0.622784051;0.613562171;;;;;;
94;13;0.772085271;0.442402703;;;;;;
94;14;0.507374611;0.34748753;;;;;;
94;15;0.491038056;0.380814284;;;;;;
94;16;0.35396482;0.470847075;;;;;;
94;17;0.170406839;0.480096409;;;;;;
94;18;0.017395182;0.685007262;;;;;;
94;19;0;0.797022528;;;;;;
94;20;0;0.917484207;;;;;;
94;21;0;0.909410637;;;;;;
94;22;0;0.843797963;;;;;;
94;23;0;0.757041678;;;;;;
95;0;0;0.502274993;;;;;;
95;1;0;0.648621564;;;;;;
95;2;0;0.480432228;;;;;;
95;3;0;0.308197522;;;;;;
95;4;0;0.295607571;;;;;;
95;5;0;0.328375781;;;;;;
95;6;0;0.307409049;;;;;;
95;7;0.004518306;0.312280955;;;;;;
95;8;0.036191427;0.286992053;;;;;;
95;9;0.140086239;0.496269886;;;;;;
95;10;0.4849685;0.617543012;;;;;;
95;11;0.713532699;0.627705269;;;;;;
95;12;0.692973778;0.747952801;;;;;;
95;13;0.541896024;0.751411366;;;;;;
95;14;0.798382792;0.737199052;;;;;;
95;15;0.648276489;0.780027416;;;;;;
95;16;0.473110479;0.620964835;;;;;;
95;17;0.220607952;0.525801013;;;;;;
95;18;0.008742242;0.388675211;;;;;;
95;19;0;0.293017163;;;;;;
